Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD),Exchange Rate,Volatility
2000,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",3931.9,3631.55,0.9236119942012767,0.11787394043954702
2000,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1605.22,1482.6,0.9236117167740246,0.11787394043954702
2000,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1702.97,1572.88,0.9236099285366155,0.11787394043954702
2000,Austria,AUT,Europe,D,Manufacture of paper products and printing,3282.55,3031.8,0.9236112168893086,0.11787394043954702
2000,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,1192.46,1101.37,0.9236116934739949,0.11787394043954702
2000,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,2964.23,2737.8,0.9236125401875024,0.11787394043954702
2000,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1606.78,1484.04,0.9236111975503802,0.11787394043954702
2000,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2324.99,2147.39,0.9236125746777406,0.11787394043954702
2000,Austria,AUT,Europe,I,Manufacture of basic metals,2315.77,2138.87,0.9236107212719743,0.11787394043954702
2000,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",12666.78,11699.2,0.9236127887276798,0.11787394043954702
2000,Austria,AUT,Europe,K,Manufacture of transport equipment,2813.53,2598.61,0.9236119749922694,0.11787394043954702
2000,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2301.39,2125.59,0.9236113826861159,0.11787394043954702
2001,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",3967.9,3553.77,0.8956299301897729,0.11787394043954702
2001,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1492.26,1336.51,0.8956281077024111,0.11787394043954702
2001,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1766.35,1582.0,0.8956322359668243,0.11787394043954702
2001,Austria,AUT,Europe,D,Manufacture of paper products and printing,3379.19,3026.5,0.8956288341288888,0.11787394043954702
2001,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,890.12,797.22,0.8956320496112884,0.11787394043954702
2001,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3123.05,2797.1,0.895630873665167,0.11787394043954702
2001,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1583.1,1417.87,0.8956288295117175,0.11787394043954702
2001,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2335.13,2091.41,0.8956289371469681,0.11787394043954702
2001,Austria,AUT,Europe,I,Manufacture of basic metals,2571.42,2303.04,0.8956296520988403,0.11787394043954702
2001,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13471.44,12065.42,0.8956295689250741,0.11787394043954702
2001,Austria,AUT,Europe,K,Manufacture of transport equipment,3049.09,2730.86,0.8956311555250911,0.11787394043954702
2001,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2435.86,2181.63,0.8956302907392051,0.11787394043954702
2002,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4092.99,3870.22,0.9455727964153345,0.11787394043954702
2002,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1372.27,1297.58,0.9455719355520414,0.11787394043954702
2002,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1758.3,1662.6,0.9455724279133253,0.11787394043954702
2002,Austria,AUT,Europe,D,Manufacture of paper products and printing,3293.98,3114.7,0.9455734400330299,0.11787394043954702
2002,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,729.89,690.16,0.9455671402540109,0.11787394043954702
2002,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,2984.96,2822.5,0.9455738100343053,0.11787394043954702
2002,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1612.38,1524.62,0.9455711432788796,0.11787394043954702
2002,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2328.74,2202.0,0.945575719058375,0.11787394043954702
2002,Austria,AUT,Europe,I,Manufacture of basic metals,2269.49,2145.97,0.9455736751428735,0.11787394043954702
2002,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13585.95,12846.52,0.9455739201160022,0.11787394043954702
2002,Austria,AUT,Europe,K,Manufacture of transport equipment,3309.97,3129.82,0.9455735248355727,0.11787394043954702
2002,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2550.88,2412.05,0.9455756444834724,0.11787394043954702
2003,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4254.9,4812.97,1.131159369197866,0.11787394043954702
2003,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1213.88,1373.09,1.1311579398293075,0.11787394043954702
2003,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1792.21,2027.28,1.1311620848003303,0.11787394043954702
2003,Austria,AUT,Europe,D,Manufacture of paper products and printing,3176.83,3593.5,1.13115904848544,0.11787394043954702
2003,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,642.98,727.31,1.1311549348346759,0.11787394043954702
2003,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3128.56,3538.9,1.1311593832306237,0.11787394043954702
2003,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1592.85,1801.77,1.1311611262830776,0.11787394043954702
2003,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2439.24,2759.17,1.1311597054820355,0.11787394043954702
2003,Austria,AUT,Europe,I,Manufacture of basic metals,2361.91,2671.7,1.1311607978288758,0.11787394043954702
2003,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13748.71,15551.99,1.1311599415508802,0.11787394043954702
2003,Austria,AUT,Europe,K,Manufacture of transport equipment,3494.65,3953.01,1.1311604881747814,0.11787394043954702
2003,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2244.93,2539.38,1.1311622188665127,0.11787394043954702
2004,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4448.47,5533.46,1.2439018359121226,0.11787394043954702
2004,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1303.05,1620.87,1.243904685161736,0.11787394043954702
2004,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1869.59,2325.59,1.2439037436015385,0.11787394043954702
2004,Austria,AUT,Europe,D,Manufacture of paper products and printing,3117.05,3877.3,1.2439004828283151,0.11787394043954702
2004,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,728.32,905.96,1.2439037785588751,0.11787394043954702
2004,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3179.51,3955.0,1.2439023623136898,0.11787394043954702
2004,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1698.14,2112.32,1.24390215176605,0.11787394043954702
2004,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2495.01,3103.55,1.2439028300487773,0.11787394043954702
2004,Austria,AUT,Europe,I,Manufacture of basic metals,2750.17,3420.94,1.2439012861023138,0.11787394043954702
2004,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",14272.16,17753.16,1.2439014136612818,0.11787394043954702
2004,Austria,AUT,Europe,K,Manufacture of transport equipment,3697.61,4599.46,1.2439007899697372,0.11787394043954702
2004,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2295.22,2855.03,1.2439025452897763,0.11787394043954702
2005,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4402.84,5477.53,1.2440901781577345,0.11787394043954702
2005,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1221.82,1520.05,1.244086690347187,0.11787394043954702
2005,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1820.95,2265.43,1.2440923693676376,0.11787394043954702
2005,Austria,AUT,Europe,D,Manufacture of paper products and printing,3068.83,3817.9,1.244089767109941,0.11787394043954702
2005,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,728.86,906.77,1.244093515901545,0.11787394043954702
2005,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3574.98,4447.6,1.244090876032873,0.11787394043954702
2005,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1680.67,2090.91,1.2440931295257247,0.11787394043954702
2005,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2626.96,3268.18,1.244092030331638,0.11787394043954702
2005,Austria,AUT,Europe,I,Manufacture of basic metals,3343.3,4159.37,1.2440911674094457,0.11787394043954702
2005,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",14964.12,18616.72,1.2440905312173385,0.11787394043954702
2005,Austria,AUT,Europe,K,Manufacture of transport equipment,4159.34,5174.6,1.2440916106882343,0.11787394043954702
2005,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2355.4,2930.33,1.244090175766324,0.11787394043954702
2006,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4510.69,5663.62,1.2555994759116678,0.11787394043954702
2006,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1249.07,1568.33,1.2555981650347858,0.11787394043954702
2006,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2116.22,2657.12,1.2555972441428587,0.11787394043954702
2006,Austria,AUT,Europe,D,Manufacture of paper products and printing,3156.18,3962.9,1.2556001242007744,0.11787394043954702
2006,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,551.48,692.44,1.2556031043736855,0.11787394043954702
2006,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3812.92,4787.5,1.255599383149922,0.11787394043954702
2006,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1867.83,2345.24,1.2555960660231391,0.11787394043954702
2006,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2769.91,3477.89,1.2555967522410476,0.11787394043954702
2006,Austria,AUT,Europe,I,Manufacture of basic metals,3561.47,4471.78,1.2555995136839564,0.11787394043954702
2006,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",16755.87,21038.64,1.2555981873814968,0.11787394043954702
2006,Austria,AUT,Europe,K,Manufacture of transport equipment,4526.48,5683.44,1.2555981689966598,0.11787394043954702
2006,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2513.05,3155.38,1.2555977795905373,0.11787394043954702
2007,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4932.56,6759.97,1.3704790210357298,0.11787394043954702
2007,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1201.63,1646.81,1.3704800978670637,0.11787394043954702
2007,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2336.38,3201.96,1.3704791172668829,0.11787394043954702
2007,Austria,AUT,Europe,D,Manufacture of paper products and printing,3208.29,4396.9,1.3704808480530126,0.11787394043954702
2007,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,521.55,714.77,1.3704726296615857,0.11787394043954702
2007,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4300.39,5893.6,1.3704803517820476,0.11787394043954702
2007,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1998.95,2739.52,1.3704795017384126,0.11787394043954702
2007,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2922.03,4004.58,1.3704787425180438,0.11787394043954702
2007,Austria,AUT,Europe,I,Manufacture of basic metals,3916.54,5367.54,1.3704800665893875,0.11787394043954702
2007,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",17950.72,24601.07,1.3704781758057614,0.11787394043954702
2007,Austria,AUT,Europe,K,Manufacture of transport equipment,4848.55,6644.83,1.3704777717049426,0.11787394043954702
2007,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2747.76,3765.75,1.370479954581186,0.11787394043954702
2008,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4731.81,6959.33,1.4707543202284115,0.11787394043954702
2008,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1115.39,1640.47,1.4707591066801746,0.11787394043954702
2008,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2124.23,3124.22,1.4707541085475677,0.11787394043954702
2008,Austria,AUT,Europe,D,Manufacture of paper products and printing,3109.42,4573.2,1.4707566041255282,0.11787394043954702
2008,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,450.96,663.25,1.4707512861451126,0.11787394043954702
2008,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3806.55,5598.5,1.4707543576204174,0.11787394043954702
2008,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2007.57,2952.64,1.4707531991412504,0.11787394043954702
2008,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2663.07,3916.72,1.4707536790245843,0.11787394043954702
2008,Austria,AUT,Europe,I,Manufacture of basic metals,3988.45,5866.03,1.470754303050057,0.11787394043954702
2008,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",18721.96,27535.42,1.4707551987078276,0.11787394043954702
2008,Austria,AUT,Europe,K,Manufacture of transport equipment,4786.42,7039.65,1.470754760342803,0.11787394043954702
2008,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2627.31,3864.13,1.4707552591814441,0.11787394043954702
2009,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4997.82,6970.87,1.394782125006503,0.11787394043954702
2009,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1021.67,1425.01,1.3947850088580462,0.11787394043954702
2009,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1893.14,2640.52,1.3947832701226532,0.11787394043954702
2009,Austria,AUT,Europe,D,Manufacture of paper products and printing,3025.78,4220.3,1.3947808498965555,0.11787394043954702
2009,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,514.62,717.78,1.3947767284598345,0.11787394043954702
2009,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3978.47,5549.1,1.3947824163560365,0.11787394043954702
2009,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1888.32,2633.79,1.3947794865277072,0.11787394043954702
2009,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2325.03,3242.91,1.3947820028128668,0.11787394043954702
2009,Austria,AUT,Europe,I,Manufacture of basic metals,2989.84,4170.17,1.394780322692853,0.11787394043954702
2009,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",17424.86,24303.88,1.3947819379897457,0.11787394043954702
2009,Austria,AUT,Europe,K,Manufacture of transport equipment,3863.7,5389.02,1.3947822035872353,0.11787394043954702
2009,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2316.86,3231.51,1.3947800039708917,0.11787394043954702
2010,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",5099.15,6760.03,1.3257170312699176,0.11787394043954702
2010,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1096.06,1453.06,1.325712096053136,0.11787394043954702
2010,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2049.9,2717.59,1.3257183277233036,0.11787394043954702
2010,Austria,AUT,Europe,D,Manufacture of paper products and printing,3057.14,4052.9,1.3257161922581238,0.11787394043954702
2010,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,276.35,366.36,1.3257101501718833,0.11787394043954702
2010,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4238.09,5618.5,1.325715121670375,0.11787394043954702
2010,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1975.58,2619.06,1.3257170046264894,0.11787394043954702
2010,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2439.1,3233.56,1.3257185027264156,0.11787394043954702
2010,Austria,AUT,Europe,I,Manufacture of basic metals,3364.0,4459.71,1.325716409036861,0.11787394043954702
2010,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",17672.78,23429.11,1.3257172895266054,0.11787394043954702
2010,Austria,AUT,Europe,K,Manufacture of transport equipment,3860.87,5118.42,1.325716742599466,0.11787394043954702
2010,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2455.56,3255.38,1.3257179625014255,0.11787394043954702
2011,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4907.42,6830.91,1.3919554470577207,0.11787394043954702
2011,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1099.63,1530.64,1.3919591135200022,0.11787394043954702
2011,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2083.87,2900.65,1.391953432795712,0.11787394043954702
2011,Austria,AUT,Europe,D,Manufacture of paper products and printing,3084.08,4292.9,1.3919548131047184,0.11787394043954702
2011,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,228.61,318.21,1.3919338611609289,0.11787394043954702
2011,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4519.11,6290.4,1.3919554956617564,0.11787394043954702
2011,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2215.63,3084.06,1.3919562381805626,0.11787394043954702
2011,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2450.46,3410.93,1.3919549798813282,0.11787394043954702
2011,Austria,AUT,Europe,I,Manufacture of basic metals,3567.73,4966.12,1.3919551087105806,0.11787394043954702
2011,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",19381.11,26977.64,1.391955362721743,0.11787394043954702
2011,Austria,AUT,Europe,K,Manufacture of transport equipment,4228.63,5886.06,1.3919543681996298,0.11787394043954702
2011,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2495.22,3473.23,1.391953414929345,0.11787394043954702
2012,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",5382.05,6914.8,1.2847892531656153,0.11787394043954702
2012,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1028.33,1321.19,1.2847918469751929,0.11787394043954702
2012,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2034.87,2614.38,1.2847896917247785,0.11787394043954702
2012,Austria,AUT,Europe,D,Manufacture of paper products and printing,3105.49,3989.9,1.2847891959078923,0.11787394043954702
2012,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,264.44,339.75,1.2847905006806837,0.11787394043954702
2012,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4389.2,5639.2,1.284789938941037,0.11787394043954702
2012,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2156.62,2770.8,1.2847882334393637,0.11787394043954702
2012,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2424.51,3114.98,1.284787441586135,0.11787394043954702
2012,Austria,AUT,Europe,I,Manufacture of basic metals,3754.78,4824.1,1.2847889889687278,0.11787394043954702
2012,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",20317.38,26103.54,1.2847886883052835,0.11787394043954702
2012,Austria,AUT,Europe,K,Manufacture of transport equipment,4440.26,5704.8,1.284789629436114,0.11787394043954702
2012,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2533.49,3255.0,1.2847889669980936,0.11787394043954702
2013,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",5164.76,6859.41,1.3281178602684345,0.11787394043954702
2013,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1001.58,1330.22,1.328121567922682,0.11787394043954702
2013,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2058.26,2733.61,1.3281169531546062,0.11787394043954702
2013,Austria,AUT,Europe,D,Manufacture of paper products and printing,2963.44,3935.8,1.3281186728936643,0.11787394043954702
2013,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,34.35,45.62,1.3280931586608442,0.11787394043954702
2013,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4713.44,6260.0,1.3281170440272922,0.11787394043954702
2013,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2271.97,3017.44,1.3281161282939478,0.11787394043954702
2013,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2479.92,3293.63,1.3281194554663054,0.11787394043954702
2013,Austria,AUT,Europe,I,Manufacture of basic metals,3448.61,4580.16,1.3281177053943471,0.11787394043954702
2013,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",20609.99,27372.5,1.3281180631334608,0.11787394043954702
2013,Austria,AUT,Europe,K,Manufacture of transport equipment,4551.09,6044.39,1.3281191978185447,0.11787394043954702
2013,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2580.31,3426.96,1.3281194895187012,0.11787394043954702
2014,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",5505.84,7314.51,1.3285002833355128,0.11787394043954702
2014,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1033.78,1373.38,1.3285031631488327,0.11787394043954702
2014,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2097.09,2785.99,1.3285028301122028,0.11787394043954702
2014,Austria,AUT,Europe,D,Manufacture of paper products and printing,3013.7,4003.7,1.3284998506818861,0.11787394043954702
2014,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,2.51,3.33,1.3266932270916336,0.11787394043954702
2014,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,5065.33,6729.3,1.3285017955394811,0.11787394043954702
2014,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2443.91,3246.74,1.3285022770887636,0.11787394043954702
2014,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2590.42,3441.38,1.3285027138456311,0.11787394043954702
2014,Austria,AUT,Europe,I,Manufacture of basic metals,3679.77,4888.58,1.32850150960522,0.11787394043954702
2014,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",20722.41,27529.74,1.3285008838257713,0.11787394043954702
2014,Austria,AUT,Europe,K,Manufacture of transport equipment,4697.79,6241.02,1.328501274003308,0.11787394043954702
2014,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2684.06,3565.78,1.3285023434647512,0.11787394043954702
2015,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",5647.81,6266.32,1.1095132449568947,0.11787394043954702
2015,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1079.48,1197.7,1.1095156927409493,0.11787394043954702
2015,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2291.47,2542.42,1.1095148529110135,0.11787394043954702
2015,Austria,AUT,Europe,D,Manufacture of paper products and printing,3074.95,3411.7,1.1095139758370054,0.11787394043954702
2015,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,446.93,495.87,1.1095026066721858,0.11787394043954702
2015,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,5472.13,6071.4,1.1095131146372619,0.11787394043954702
2015,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2397.45,2660.0,1.1095121900352458,0.11787394043954702
2015,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2553.17,2832.78,1.1095148384165567,0.11787394043954702
2015,Austria,AUT,Europe,I,Manufacture of basic metals,4182.33,4640.35,1.1095131182857403,0.11787394043954702
2015,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",21534.07,23892.33,1.1095129717698513,0.11787394043954702
2015,Austria,AUT,Europe,K,Manufacture of transport equipment,4580.86,5082.53,1.1095143706640238,0.11787394043954702
2015,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2608.3,2893.94,1.1095119426446345,0.11787394043954702
2016,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",6010.0,6652.49,1.1069034941763727,0.11787394043954702
2016,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1028.12,1138.03,1.1069038633622534,0.11787394043954702
2016,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2441.62,2702.64,1.106904432303143,0.11787394043954702
2016,Austria,AUT,Europe,D,Manufacture of paper products and printing,3193.95,3535.4,1.106905242724526,0.11787394043954702
2016,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,514.36,569.35,1.1069095575083598,0.11787394043954702
2016,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,6294.22,6967.1,1.1069044297784316,0.11787394043954702
2016,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2556.15,2829.41,1.106902959528979,0.11787394043954702
2016,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2600.09,2878.05,1.1069039917848997,0.11787394043954702
2016,Austria,AUT,Europe,I,Manufacture of basic metals,3952.3,4374.82,1.1069048402196189,0.11787394043954702
2016,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",22833.28,25274.24,1.1069036073660903,0.11787394043954702
2016,Austria,AUT,Europe,K,Manufacture of transport equipment,5115.05,5661.87,1.1069041358344494,0.11787394043954702
2016,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2709.54,2999.2,1.1069037548809022,0.11787394043954702
2017,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",6196.27,6999.81,1.1296812437159776,0.11787394043954702
2017,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",929.83,1050.41,1.1296796188550595,0.11787394043954702
2017,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2459.55,2778.51,1.129682258949808,0.11787394043954702
2017,Austria,AUT,Europe,D,Manufacture of paper products and printing,3151.51,3560.2,1.129680692747286,0.11787394043954702
2017,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,579.76,654.94,1.1296743480060716,0.11787394043954702
2017,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,5868.56,6629.6,1.1296808757173822,0.11787394043954702
2017,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2562.4,2894.69,1.1296792069934436,0.11787394043954702
2017,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2677.87,3025.14,1.1296814259093981,0.11787394043954702
2017,Austria,AUT,Europe,I,Manufacture of basic metals,4178.85,4720.77,1.1296816109695251,0.11787394043954702
2017,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",23974.35,27083.36,1.1296806795596128,0.11787394043954702
2017,Austria,AUT,Europe,K,Manufacture of transport equipment,5063.89,5720.58,1.1296809369871779,0.11787394043954702
2017,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2811.98,3176.64,1.1296808654400101,0.11787394043954702
2018,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",6249.63,7380.53,1.180954712518981,0.11787394043954702
